Source File	Line Number	Verse Reference	Word	Suggested Fix	Errors Found	Full Line
Brenton-corrected.tex	15461	ΝΕΕΜΙΑΣ 7:17	Yἱοὶ	Υἱοὶ	Y	\vs{17}Yἱοὶ Ἀσγὰδ, δισχίλιοι τριακόσιοι εἰκοσιδύο.
Brenton-corrected.tex	15463	ΝΕΕΜΙΑΣ 7:18	Yἱοὶ	Υἱοὶ	Y	\vs{18}Yἱοὶ Ἀδωνικὰμ, ἑξακόσιοι ἑξηκονταεπτά.
Brenton-corrected.tex	15465	ΝΕΕΜΙΑΣ 7:19	Yἱοὶ	Υἱοὶ	Y	\vs{19}Yἱοὶ Βαγοῒ, δισχίλιοι ἑξηκονταεπτά.
Brenton-corrected.tex	15467	ΝΕΕΜΙΑΣ 7:20	Yἱοὶ	Υἱοὶ	Y	\vs{20}Yἱοὶ Ἠδὶν, ἑξακόσιοι πεντηκονταπέντε.
Brenton-corrected.tex	15469	ΝΕΕΜΙΑΣ 7:21	Yἱοὶ	Υἱοὶ	Y	\vs{21}Yἱοὶ Ἀτὴρ τῷ Ἐζεκίᾳ, ἐννενηκονταοκτώ.
Brenton-corrected.tex	15471	ΝΕΕΜΙΑΣ 7:22	Yἱοὶ	Υἱοὶ	Y	\vs{22}Yἱοὶ Ἠσὰμ, τριακόσιοι εἰκοσιοκτώ.
Brenton-corrected.tex	15473	ΝΕΕΜΙΑΣ 7:23	Yἱοὶ	Υἱοὶ	Y	\vs{23}Yἱοὶ Βεσεῒ, τριακόσιοι εἰκοσιτέσσαρες.
Brenton-corrected.tex	15475	ΝΕΕΜΙΑΣ 7:24	Yἱοὶ	Υἱοὶ	Y	\vs{24}Yἱοὶ Ἀρὶφ, ἑκατὸν δώδεκα· υἱοὶ Ἀσὲν, διακόσιοι εἰκοσιτρεῖς.
Brenton-corrected.tex	15477	ΝΕΕΜΙΑΣ 7:25	Yἱοὶ	Υἱοὶ	Y	\vs{25}Yἱοὶ Γαβαὼν, ἐννενηκονταπέντε.
Brenton-corrected.tex	15479	ΝΕΕΜΙΑΣ 7:26	Yἱοὶ	Υἱοὶ	Y	\vs{26}Yἱοὶ Βαιθαλὲμ, ἑκατὸν εἰκοσιτρεῖς· υἱοὶ Ἀτωφὰ, πεντηκονταέξ.
Brenton-corrected.tex	15481	ΝΕΕΜΙΑΣ 7:27	Yἱοὶ	Υἱοὶ	Y	\vs{27}Yἱοὶ Ἀναθὼθ, ἑκατὸν εἰκοσιοκτώ.
Brenton-corrected.tex	15497	ΝΕΕΜΙΑΣ 7:35	Yἱοὶ	Υἱοὶ	Y	\vs{35}Yἱοὶ Ἠρὰμ, τριακόσιοι εἴκοσι.
Brenton-corrected.tex	15499	ΝΕΕΜΙΑΣ 7:36	Yἱοὶ	Υἱοὶ	Y	\vs{36}Yἱοὶ Ἱεριχὼ, τριακόσιοι τεσσαρακονταπέντε.
Brenton-corrected.tex	15501	ΝΕΕΜΙΑΣ 7:37	Yἱοὶ	Υἱοὶ	Y	\vs{37}Yἱοὶ Λοδαδὶδ καὶ Ὠνὼ, ἑπτακόσιοι εἰκοσιεῖς.
Brenton-corrected.tex	15503	ΝΕΕΜΙΑΣ 7:38	Yἱοὶ	Υἱοὶ	Y	\vs{38}Yἱοὶ Σανανὰ, τρισχίλιοι ἐννακόσιοι τριάκοντα.
Brenton-corrected.tex	15511	ΝΕΕΜΙΑΣ 7:42	Yἱοὶ	Υἱοὶ	Y	\vs{42}Yἱοὶ Ἠρὰμ, χίλιοι δεκαεπτά.
Brenton-corrected.tex	15530	ΝΕΕΜΙΑΣ 7:57	Yἱοὶ	Υἱοὶ	Y	\vs{57}Yἱοὶ δούλων Σαλωμὼν, υἱοὶ Σουτεῒ, υἱοὶ Σαφαρὰτ, υἱοὶ Φεριδὰ,
Brenton-corrected.tex	15536	ΝΕΕΜΙΑΣ 7:62	Yἱοὶ	Υἱοὶ	Y	\vs{62}Yἱοὶ Δαλαία, υἱοὶ Τωβία, υἱοὶ Νεκωδὰ, ἑξακόσιοι τεσσαρακονταδύο.
