Line Number	Verse Reference	Word	Matched Variation	Verse Match?	Area Match?	Full Line
838	ΓΕΝΕΣΙΣ 25:3	Λατουσιεὶμ	λατουσιιμ	Yes	No	\vs{3}Ἰεζὰν δὲ ἐγέννησε τὸν Σαβὰ, καὶ τὸν Δεδάν· υἱοὶ δὲ Δεδὰν Ἀσσουριεὶμ, καὶ Λατουσιεὶμ, καὶ Λαωμείμ.
839	ΓΕΝΕΣΙΣ 25:4	Ἀφεὶρ	αφερ	Yes	No	\vs{4}Υἱοὶ δὲ Μαδιὰμ Γεφὰρ, καὶ Ἀφεὶρ, καὶ Ἐνὼχ, καὶ Ἀβειδὰ, καὶ Ἐλδαγά· πάντες οὗτοι ἦσαν υἱοὶ Χεττούρας.
974	ΓΕΝΕΣΙΣ 28:9	Ναβεὼθ	ναβαιωθ	Yes	No	\vs{9}ἐπορεύθη Ἡσαῦ πρὸς Ἰσμαήλ· καὶ ἔλαβε τὴν Μαελὲθ, θυγατέρα Ἰσμαὴλ τοῦ υἱοῦ Ἁβραὰμ, ἀδελφὴν Ναβεὼθ, πρὸς ταῖς γυναιξὶν αὐτοῦ γυναῖκα.
1188	ΓΕΝΕΣΙΣ 33:18	Σηκίμων	σικιμων	Yes	No	\vs{18}Καὶ ἦλθεν Ἰακὼβ εἰς Σαλὴμ, πόλιν Σηκίμων, ἥ ἐστιν ἐν γῇ Χαναὰν, ὅτε ἐπανῆλθεν ἐκ τῆς Μεσοποταμίας Συρίας· καὶ παρενέλαβε κατὰ πρόσωπον τῆς πόλεως.
1231	ΓΕΝΕΣΙΣ 35:4	Σηκίμοις	σικιμοις	Yes	No	\vs{4}Καὶ ἔδωκαν τῷ Ἰακὼβ τοὺς θεοὺς τοὺς ἀλλοτρίους, οἳ ἦσαν ἐν ταῖς χερσὶν αὐτῶν, καὶ τὰ ἐνώτια τὰ ἐν τοῖς ὠσὶν αὐτῶν· καὶ κατέκρυψεν αὐτὰ Ἰακὼβ ὑπὸ τὴν τερέβινθον τὴν ἐν Σηκίμοις· καὶ ἀπώλεσεν αὐτὰ, ἕως τῆς σήμερον ἡμέρας.
1232	ΓΕΝΕΣΙΣ 35:5	Σηκίμων	σικιμων	Yes	No	\vs{5}Καὶ ἐξῇρεν Ἰσραὴλ ἐκ Σηκίμων· καὶ ἐγένετο φόβος Θεοῦ ἐπὶ τὰς πόλεις τὰς κύκλῳ αὐτῶν, καὶ οὐ κατεδίωξαν ὀπίσω τῶν υἱῶν Ἰσραήλ.
1271	ΓΕΝΕΣΙΣ 36:11	Γοθὼμ	γοθομ	Yes	No	\vs{11}Ἐγένοντο δὲ Ἑλιφὰς υἱοὶ, Θαιμὰν, Ὠμὰρ, Σωφὰρ, Γοθὼμ, καὶ Κενέζ.
1273	ΓΕΝΕΣΙΣ 36:13	Ναχὼθ	ναχοθ	Yes	No	\vs{13}Οὗτοι δὲ υἱοὶ Ῥαγουὴλ, Ναχὼθ, Ζαρὲ, Σομὲ, καὶ Μοζέ· οὗτοι ἦσαν υἱοὶ Βασεμὰθ γυναικὸς Ἡσαῦ.
1276	ΓΕΝΕΣΙΣ 36:16	Γοθὼμ	γοθομ	Yes	No	\vs{16}ἡγεμὼν Κορὲ, ἡγεμὼν Γοθὼμ, ἡγεμὼν Ἀμαλήκ· οὗτοι ἡγεμόνες Ἑλιφὰς ἐν γῇ Ἰδουμαίᾳ· οὗτοι υἱοὶ Ἀδάς.
1277	ΓΕΝΕΣΙΣ 36:17	Ναχὼθ	ναχοθ	Yes	No	\vs{17}Καὶ οὗτοι υἱοὶ Ῥαγουὴλ υἱοῦ Ἡσαῦ· ἡγεμὼν Ναχὼθ, ἡγεμὼν Ζαρὲ, ἡγεμὼν Σομὲ, ἡγεμὼν Μοζέ· οὗτοι ἡγεμόνες Ῥαγουὴλ ἐν γῇ Ἐδώμ· οὗτοι υἱοὶ Βασεμὰθ γυναικὸς Ἡσαῦ.
1287	ΓΕΝΕΣΙΣ 36:27	Ἰουκάμ	ιωυκαμ	Yes	No	\vs{27}Οὗτοι δὲ υἱοὶ Ἀσάρ· Βαλαὰμ, καὶ Ζουκὰμ, καὶ Ἰουκάμ.
1297	ΓΕΝΕΣΙΣ 36:36	Μασσεκκάς	μασεκκας	Yes	No	\vs{36}Ἀπέθανε δὲ Ἀδὰδ, καὶ ἐβασίλευσεν ἀντʼ αὐτοῦ Σαμαδὰ ἐκ Μασσεκκάς.
1300	ΓΕΝΕΣΙΣ 36:39	Μαιζοώβ	μαιζοοβ	Yes	No	\vs{39}Ἀπέθανε δὲ Βαλλενὼν υἱὸς Ἀχοβὼρ, καὶ ἐβασίλευσεν ἀντʼ αὐτοῦ Ἀρὰδ υἱὸς Βαράδ· καὶ ὄνομα τῇ πόλει αὐτοῦ Φογώρ· ὄνομα δὲ τῇ γυναικὶ αὐτοῦ Μετεβεὴλ, θυγάτηρ Ματραῒθ, υἱοῦ Μαιζοώβ.
1477	ΓΕΝΕΣΙΣ 41:45	Ἀσενὲθ	ασεννεθ	Yes	No	\vs{45}Καὶ ἐκάλεσε Φαραὼ τὸ ὄνομα Ἰωσὴφ, Ψονθομφανήχ· καὶ ἔδωκεν αὐτῷ τὴν Ἀσενὲθ θυγατέρα Πετεφρῆ ἱερέως Ἡλιουπόλεως αὐτῷ εἰς γυναῖκα.
1483	ΓΕΝΕΣΙΣ 41:50	Ἀσενὲθ	ασεννεθ	Yes	No	\vs{50}Τῷ δὲ Ἰωσὴφ ἐγένοντο υἱοὶ δύο πρὸ τοῦ ἐλθεῖν τὰ ἑπτὰ ἔτη τοῦ λιμοῦ, οὓς ἔτεκεν αὐτῷ Ἀσενὲθ ἡ θυγάτηρ Πετεφρῆ ἱερέως Ἡλιουπόλεως.
1656	ΓΕΝΕΣΙΣ 46:16	Ἀηδεὶς	αηδις	Yes	No	\vs{16}Υἱοὶ δὲ Γάδ, Σαφὼν, καὶ Ἀγγὶς, καὶ Σαννὶς, καὶ Θασοβὰν, καὶ Ἀηδεὶς, καὶ Ἀροηδεὶς, καὶ Ἀρεηλείς.
1656	ΓΕΝΕΣΙΣ 46:16	Ἀροηδεὶς	αροηδις	Yes	No	\vs{16}Υἱοὶ δὲ Γάδ, Σαφὼν, καὶ Ἀγγὶς, καὶ Σαννὶς, καὶ Θασοβὰν, καὶ Ἀηδεὶς, καὶ Ἀροηδεὶς, καὶ Ἀρεηλείς.
1657	ΓΕΝΕΣΙΣ 46:17	Ἰεσσουὰ	ιεσουα	Yes	No	\vs{17}Υἱοὶ δὲ Ἀσὴρ, Ἰεμνα, Ἰεσσουὰ, καὶ Ἰεοὺλ, καὶ βαριὰ, καὶ Σάρα ἀδελφὴ αὐτῶν. Υἱοὶ δὲ βαριὰ, Χοβὸρ, καὶ Μελχιΐλ.
1657	ΓΕΝΕΣΙΣ 46:17	Μελχιΐλ	μελχιηλ	Yes	No	\vs{17}Υἱοὶ δὲ Ἀσὴρ, Ἰεμνα, Ἰεσσουὰ, καὶ Ἰεοὺλ, καὶ βαριὰ, καὶ Σάρα ἀδελφὴ αὐτῶν. Υἱοὶ δὲ βαριὰ, Χοβὸρ, καὶ Μελχιΐλ.
1660	ΓΕΝΕΣΙΣ 46:20	Ἀσενὲθ	ασεννεθ	Yes	No	\vs{20}Ἐγένοντο δὲ υἱοὶ Ἰωσὴφ ἐν γῇ Αἰγύπτου, οὓς ἔτεκεν αὐτῷ Ἀσενὲθ θυγάτηρ Πετεφρῆ ἱερέως Ἡλιουπόλεως, τὸν Μανασσῆ, καὶ τὸν Ἐφραίμ· ἐγένοντο δὲ υἱοὶ Μανασσῆ, οὓς ἔτεκεν αὐτῷ ἡ παλλακὴ ἡ Σύρα, τὸν Μαχίρ· Μαχὶρ δὲ ἐγέννησε τὸν Γαλαάδ· υἱοὶ δὲ Ἐφραὶμ ἀδελφοῦ Μανασσῆ, Σουταλαὰμ, καὶ Ταάμ· υἱοὶ δὲ Σουταλαὰμ, Ἐδώμ.
2204	ΕΞΟΔΟΣ 13:20	Ὀθὼμ	οθομ	Yes	No	\vs{20}Ἐξάραντες δὲ οἱ υἱοὶ Ἰσραὴλ ἐκ Σοκχὼθ, ἐστρατοπέδευσαν ἐν Ὀθὼμ παρὰ τὴν ἔρημον.
3396	ΛΕΥΙΤΙΚΟΝ 10:4	Μισαδάη	μισαδαι	Yes	No	\vs{4}Καὶ ἐκάλεσε Μωυσῆς τὸν Μισαδάη, καὶ τὸν Ἐλισαφὰν, υἱοὺς Ὀζιὴλ, υἱοὺς τοῦ ἀδελφοῦ τοῦ πατρὸς Ἀαρὼν, καὶ εἶπεν αὐτοῖς, προσέλθατε καὶ ἄρατε τοὺς ἀδελφοὺς ὑμῶν ἐκ προσώπου τῶν ἁγίων ἔξω τῆς παρεμβολῆς.
10652	ΒΑΣΙΛΕΙΩΝ Γ 1:9	Ζωελεθὶ	ζωελεθεὶ	Yes	No	\vs{9}Καὶ ἐθυσίασεν Ἀδωνίας πρόβατα καὶ μόσχους καὶ ἄρνας μετὰ αἰθῆ τοῦ Ζωελεθὶ, ὃς ἦν ἐχόμενα τῆς Ῥωγήλ· καὶ ἐκάλεσε πάντας τοὺς ἀδελφοὺς αὐτοῦ, καὶ πάντας τοὺς ἁδροὺς Ἰούδα παῖδας τοῦ βασιλέως.
10831	ΒΑΣΙΛΕΙΩΝ Γ 4:3	Σηβὰ	σαβα	Yes	No	\vs{3}Ἐλιὰφ καὶ Ἀχιὰ υἱὸς Σηβὰ γραμματεῖς· καὶ Ἰωσαφὰτ υἱὸς Ἀχιλοὺδ ἀναμιμνήσκων·
29055	ΟΒΔΕΙΟΥ 1:1	Ὀβδίου	ὀβδειού	Yes	No	\lettrine[lines=2, loversize=0.2, nindent=0em, findent=.25em]{\textcolor{bookheadingcolor}{Ὅ}}{ΡΑΣΙΣ} Ὀβδίου. Τάδε λέγει Κύριος ὁ Θεὸς τῇ Ἰδουμαίᾳ, ἀκοὴν ἤκουσα παρὰ Κυρίου, καὶ περιοχὴν εἰς τὰ ἔθνη ἐξαπέστειλεν· ἀνάστητε, καὶ ἐξαναστῶμεν ἐπʼ αὐτὴν εἰς πόλεμον.
29109	ΙΩΝΑΣ 1:16	ηὔξαντο	εὔξαντο	Yes	No	\vs{16}Καὶ ἐφοβήθησαν οἱ ἄνδρες φόβῳ μεγάλῳ τὸν Κύριον, καὶ ἔθυσαν θυσίαν τῷ Κυρίῳ, καὶ ηὔξαντο τὰς εὐχάς.
29524	ΣΟΦΟΝΙΑΣ 3:6	τοπαράπαν	τὸ παράπαν	Yes	No	\vs{6}Ἐν διαφθορᾷ κατέσπασα ὑπερηφάνους, ἠφανίσθησαν γωνίαι αὐτῶν· ἐξερημώσω τὰς ὁδοὺς αὐτῶν τοπαράπαν, τοῦ μὴ διοδεύειν· ἐξέλιπον αἱ πόλεις αὐτῶν, παρὰ τὸ μηδένα ὑπάρχειν, μηδὲ κατοικεῖν.
29584	ΑΓΓΑΙΟΣ 2:10	ἐννάτου	ἐνάτου	Yes	No	\vs{10}Τετράδι καὶ εἰκάδι τοῦ ἐννάτου μηνὸς, ἔτους δευτέρου, ἐπὶ Δαρείου, ἐγένετο λόγος Κυρίου πρὸς Ἀγγαῖον τὸν προφήτην, λέγων,
29593	ΑΓΓΑΙΟΣ 2:18	ἐννάτου	ἐνάτου	Yes	No	\vs{18}Ὑποτάξατε δὴ τὰς καρδίας ὑμῶν ἀπὸ τῆς ἡμέρας ταύτης, καὶ ἐπέκεινα, ἀπὸ τῆς τετράδος καὶ εἰκάδος τοῦ ἐννάτου μηνὸς, καὶ ἀπὸ τῆς ἡμέρας ἧς τεθεμελίωται ὁ ναὸς Κυρίου· θέσθε ἐν ταῖς καρδίαις ὑμῶν,
29735	ΖΑΧΑΡΙΑΣ 7:1	ἐννάτου	ἐνάτου	Yes	No	Καὶ ἐγένετο ἐν τῷ τετάρτῳ ἔτει ἐπὶ Δαρείου τοῦ βασιλέως, ἐγένετο λόγος Κυρίου πρὸς Ζαχαρίαν τετράδι τοῦ μηνὸς τοῦ ἐννάτου, ὅς ἐστι Χασελεύ.
30242	ΕΣΔΡΑΣ Α 5:16	Ἁννὶς	ἁννείς	Yes	No	\vs{16}Υἱοὶ Ἁννὶς, ἑκατὸν εἷς· υἱοὶ Ἀρὸμ, τριακονταδύο· υἱοὶ Βασσαὶ, τριακόσιοι εἰκοσιτρεῖς· υἱοὶ Ἀρσιφουρὶθ, ἑκατὸν δύο.
30242	ΕΣΔΡΑΣ Α 5:16	Ἀρσιφουρὶθ	ἀρσειφουρείθ	Yes	No	\vs{16}Υἱοὶ Ἁννὶς, ἑκατὸν εἷς· υἱοὶ Ἀρὸμ, τριακονταδύο· υἱοὶ Βασσαὶ, τριακόσιοι εἰκοσιτρεῖς· υἱοὶ Ἀρσιφουρὶθ, ἑκατὸν δύο.
30248	ΕΣΔΡΑΣ Α 5:19	Καφείρας	καπιρας	Yes	No	\vs{19}Οἱ ἐκ Καριαθιρὶ, εἰκοσιπέντε· οἱ ἐκ Καφείρας, καὶ Βηρὼγ, ἑπτακόσιοι τεσσαρακοντατρεῖς.
30248	ΕΣΔΡΑΣ Α 5:19	Βηρὼγ	βηρόγ	Yes	No	\vs{19}Οἱ ἐκ Καριαθιρὶ, εἰκοσιπέντε· οἱ ἐκ Καφείρας, καὶ Βηρὼγ, ἑπτακόσιοι τεσσαρακοντατρεῖς.
30252	ΕΣΔΡΑΣ Α 5:21	Βετολίῳ	βαιτολιω	Yes	No	\vs{21}Οἱ ἐκ Μακαλὼν, ἑκατὸν εἰκοσιδύο· οἱ ἐκ Βετολίῳ, πεντηκονταδύο· υἱοὶ Νιφὶς, ἑκατὸν πεντηκονταέξ.
30276	ΕΣΔΡΑΣ Α 5:33	Ἰειηλὶ	ἰειηλεί	Yes	No	\vs{33}Υἱοὶ παίδων Σαλωμὼν, υἱοὶ Ἀσσαπφιὼθ, υἱοὶ Φαριρὰ, υἱοὶ Ἰειηλὶ, υἱοὶ Λοζὼν, υἱοὶ Ἰσδαὴλ, υἱοὶ Σαφυῒ,
30276	ΕΣΔΡΑΣ Α 5:33	Σαφυῒ	σαφυεί	Yes	No	\vs{33}Υἱοὶ παίδων Σαλωμὼν, υἱοὶ Ἀσσαπφιὼθ, υἱοὶ Φαριρὰ, υἱοὶ Ἰειηλὶ, υἱοὶ Λοζὼν, υἱοὶ Ἰσδαὴλ, υἱοὶ Σαφυῒ,
30278	ΕΣΔΡΑΣ Α 5:34	Σαβιὴ	σαβειή	Yes	No	\vs{34}Υἱοὶ Ἁγιὰ, υἱοὶ Φακαρὲθ, υἱοὶ Σαβιὴ, υἱοὶ Σαρωθὶ, υἱοὶ Μισαίας, υἱοὶ Γὰς, υἱοὶ Ἀδδοὺς, υἱοὶ Σουβὰ, υἱοὶ Ἀφεῤῥὰ, υἱοὶ Βαρωδὶς, υἱοὶ Σαφὰγ, υἱοὶ Ἀλλώμ·
30278	ΕΣΔΡΑΣ Α 5:34	Σαρωθὶ	σαρωθεί	Yes	No	\vs{34}Υἱοὶ Ἁγιὰ, υἱοὶ Φακαρὲθ, υἱοὶ Σαβιὴ, υἱοὶ Σαρωθὶ, υἱοὶ Μισαίας, υἱοὶ Γὰς, υἱοὶ Ἀδδοὺς, υἱοὶ Σουβὰ, υἱοὶ Ἀφεῤῥὰ, υἱοὶ Βαρωδὶς, υἱοὶ Σαφὰγ, υἱοὶ Ἀλλώμ·
30278	ΕΣΔΡΑΣ Α 5:34	Μισαίας	μεισαιάς	Yes	No	\vs{34}Υἱοὶ Ἁγιὰ, υἱοὶ Φακαρὲθ, υἱοὶ Σαβιὴ, υἱοὶ Σαρωθὶ, υἱοὶ Μισαίας, υἱοὶ Γὰς, υἱοὶ Ἀδδοὺς, υἱοὶ Σουβὰ, υἱοὶ Ἀφεῤῥὰ, υἱοὶ Βαρωδὶς, υἱοὶ Σαφὰγ, υἱοὶ Ἀλλώμ·
30282	ΕΣΔΡΑΣ Α 5:36	Ἀλάρ	ἀλλάρ	Yes	No	\vs{36}Οὗτοι ἀναβάντες ἀπὸ Θερμελὲθ, καὶ Θελερσὰς, ἡγούμενος αὐτῶν Χαρααθαλὰν, καὶ Ἀλάρ.
30283	ΕΣΔΡΑΣ Α 5:37	πεντη	πέντε	No	Yes	\vs{37}Καὶ οὐκ ἠδύναντο ἀπαγγεῖλαι τὰς πατριὰς αὐτῶν καὶ γενεὰς, ὡς ἐκ τοῦ Ἰσραήλ εἰσιν· υἱοὶ Δαλὰν τοῦ υἱοῦ τοῦ Βαενὰν, υἱοὶ Νεκωδὰν, ἑξακόσιοι πεντη· κονταδύο.
30294	ΕΣΔΡΑΣ Α 5:44	ηὔξαντο	εὔξαντο	No	Yes	\vs{44}Καὶ ἐκ τῶν ἡγουμένων κατὰ τὰς πατριὰς ἐν τῷ παραγίνεσθαι αὐτούς εἰς τὸ ἱερὸν τοῦ Θεοῦ τὸ ἐν Ἱερουσαλὴμ, ηὔξαντο ἐγεῖραι τὸν οἶκον ἐπὶ τοὺ τοῦ τόπου αὐτοῦ κατὰ τὴν αὐτῶν δύναμιν,
30303	ΕΣΔΡΑΣ Α 5:51	ἐγάγοσαν	ἠγάγοσαν	No	Yes	\vs{51}Καὶ ἐγάγοσαν τὴν τῆς σκηνοπηγίας ἑορτὴν, ὡς ἐπιτέτακται ἐν τῷ νόμῳ, καὶ θυσίας καθʼ ἡμέραν, ὡς προσῆκον ἦν·
30306	ΕΣΔΡΑΣ Α 5:53	ηὔξαντο	εὔξαντο	No	Yes	\vs{53}Καὶ ὅσοι ηὔξαντο εὐχὴν τῷ Θεῷ ἀπὸ τῆς νουμηνίας τοῦ ἑβδόμου μηνὸς, ἤρξαντο προσφέρειν θυσίας τῷ Θεῷ, καὶ ὁ ναὸς τοῦ Θεοῦ οὔπω ᾠκοδόμητο.
30327	ΕΣΔΡΑΣ Α 5:68	συνοικοδομήσωμεν	συνοικοδομήσομεν	No	Yes	\vs{68}Καὶ προσελθόντες τῷ Ζοροβάβελ, καὶ Ἰησοῦ, καὶ τοῖς ἡγουμένοις τῶν πατριῶν, λέγουσιν αὐτοῖς, συνοικοδομήσωμεν ὑμῖν.
30402	ΕΣΔΡΑΣ Α 8:2	Ἀβισαῒ	ἀβεισαὶ	Yes	No	\vs{2}τοῦ Σαδδούκου, τοῦ Ἀχιτὼβ, τοῦ Ἀμαρίου, τοῦ Ὀζίου, τοῦ Βοκκὰ, τοῦ Ἀβισαῒ, τοῦ Φινεὲς, τοῦ Ἐλεάζαρ, τοῦ Ἀαρὼν, τοῦ ἱερέως τοῦ πρώτου·
30444	ΕΣΔΡΑΣ Α 8:36	Σαλιμὼθ	σαλειμὼθ	Yes	No	\vs{36}Ἐκ τῶν υἱῶν Βανίας, Σαλιμὼθ Ἰωσαφίου, καὶ μετʼ αὐτοῦ ἄνδρες ἑξήκοντα καὶ ἑκατόν·
30448	ΕΣΔΡΑΣ Α 8:40	Βαγὼ	βαγο	Yes	No	\vs{40}ἐκ τῶν υἱῶν Βαγὼ, Οὐθὶ ὁ τοῦ Ἱσταλκούρου, καὶ μετʼ αὐτοῦ ἄνδρες ἑβδομήκοντα.
30481	ΕΣΔΡΑΣ Α 8:66	ἐνενηκονταὲξ	ἐνενήκοντα ἕξ	No	Yes	\vs{66}κριοὺς ἐνενηκονταὲξ, ἄρνας ἑβδομηκονταδύο, τράγους ὑπὲρ σωτηρίου δώδεκα, ἅπαντα θυσίαν τῷ Κυρίῳ.
30539	ΕΣΔΡΑΣ Α 9:14	Θεωκανοῦ	θοκανου	Yes	No	\vs{14}Ἰωνάθας Ἀζαήλου, καὶ Ἐζεκίας Θεωκανοῦ ἐπεδέξαντο κατὰ ταῦτα· καὶ Μοσόλλαμος, καὶ Λευὶς, καὶ Σαββαταῖος συνεβράβευσαν αὐτοῖς.
30553	ΕΣΔΡΑΣ Α 9:25	Σαλοῦμος	σαλλουμος	Yes	No	\vs{25}Ἐκ τῶν θυρωρῶν, Σαλοῦμος, καὶ Τολβάνης.
30557	ΕΣΔΡΑΣ Α 9:28	Ζαμὼθ	ζαμοθ	Yes	No	\vs{28}Καὶ ἐκ τῶν υἱῶν Ζαμὼθ, Ἐλιαδὰς, Ἐλιάσιμος, Ὀθονίας, Ἰαριμὼθ, καὶ Σάβαθος, καὶ Ζεραλίας.
30560	ΕΣΔΡΑΣ Α 9:31	Μοοσίας	μοοσσιας	Yes	No	\vs{31}Καὶ ἐξ υἱῶν Ἀδδὶ, Νάαθος, καὶ Μοοσίας, Λακκοῦνος, καὶ Ναΐδος, Ματθανίας, καὶ Σεσθὴλ, καὶ Βαλνούος, καὶ Μανασσίας.
30563	ΕΣΔΡΑΣ Α 9:34	Ἐνάσιβος	ἐνάσειβος	Yes	No	\vs{34}Καὶ ἐκ τῶν υἱῶν Βαανὶ, Ἱερεμίας, Μομδίος, Ἰσμαῆρος, Ἰουὴλ, Μαβδαῒ, καὶ Πεδίας, καὶ Ἄνως, Ῥαβασίων, καὶ Ἐνάσιβος, καὶ Μαμνιτάναιμος, Ἐλίασις, Βαννοὺς, Ἐλιαλὶ, Σομεῒς, Σελεμίας, Ναθανίας· καὶ ἐκ τῶν υἱῶν Ἐζωρὰ, Σεσὶς, Ἐσρὶλ, Ἀζαῆλος, Σαματὸς, Ζαμβρὶ, Ἰώσηφος.
30563	ΕΣΔΡΑΣ Α 9:34	Σεσὶς	σεσείς	Yes	No	\vs{34}Καὶ ἐκ τῶν υἱῶν Βαανὶ, Ἱερεμίας, Μομδίος, Ἰσμαῆρος, Ἰουὴλ, Μαβδαῒ, καὶ Πεδίας, καὶ Ἄνως, Ῥαβασίων, καὶ Ἐνάσιβος, καὶ Μαμνιτάναιμος, Ἐλίασις, Βαννοὺς, Ἐλιαλὶ, Σομεῒς, Σελεμίας, Ναθανίας· καὶ ἐκ τῶν υἱῶν Ἐζωρὰ, Σεσὶς, Ἐσρὶλ, Ἀζαῆλος, Σαματὸς, Ζαμβρὶ, Ἰώσηφος.
30745	ΤΩΒΙΤ 6:12	ὑποστρέψομεν	ὑποστρέψωμεν	No	Yes	\vs{12}Καὶ τὸ κοράσιον καλὸν καὶ φρόνιμόν ἐστι· καὶ νῦν ἄκουσόν μου, καὶ λαλήσω τῷ πατρὶ αὐτῆς, καὶ ὅταν ὑποστρέψομεν ἐκ Ῥαγῶν, ποιήσομεν τὸν γάμον· διότι ἐπίσταμαι Ῥαγουὴλ ὅτι οὐ μὴ δῷ αὐτὴν ἀνδρὶ ἑτέρῳ κατὰ τὸν νόμον Μωυσῇ, ἢ ὀφειλήσει θάνατον, ὅτι τὴν κληρονομίαν σοι καθήκει λαβεῖν, ἢ πάντα ἄνθρωπον.
30861	ΤΩΒΙΤ 12:3	ἀγήοχέ	ἀγείοχεν	Yes	No	\vs{3}ὅτι με ἀγήοχέ σοι ὑγιῆ, καὶ τὴν γυναῖκά μου ἐθεράπευσε, καὶ τὸ ἀργύριόν μου ἤνεγκε, καὶ σὲ ὁμοίως ἐθεράπευσε.
30946	ΙΟΥΔΙΘ 1:6	Εἰριὼχ	αριωχ	Yes	No	\vs{6}Καὶ συνήντησαν πρὸς αὐτὸν πάντες οἱ κατοικοῦντες τὴν ὀρεινὴν, καὶ πάντες οἱ κατοικοῦντες τὸν Εὐφράτην, καὶ τὸν Τίγριν, καὶ τὸν Ὑδάσπην, καὶ πεδίῳ Εἰριὼχ ὁ βασιλεὺς Ἐλυμαίων· καὶ συνῆλθον ἔθνη πολλὰ σφόδρα εἰς παράταξιν υἱῶν Χελεούλ.
30950	ΙΟΥΔΙΘ 1:9	Χελλοὺς	χελους	Yes	No	\vs{9}καὶ πάντας τοὺς ἐν Σαμαρείᾳ καὶ ταῖς πόλεσιν αὐτῆς, καὶ πέραν τοῦ Ἰορδάνου ἕως Ἱερουσαλὴμ, καὶ Βετὰνη, καὶ Χελλοὺς, καὶ Κάδης, καὶ τοῦ ποταμοῦ Αἰγύπτου, καὶ Ταφνὰς, καὶ Ῥαμεσσὴ,
30988	ΙΟΥΔΙΘ 2:21	Βαικτιλαὶθ	βεκτιλεθ	Yes	No	\vs{21}Καὶ ἀπῆλθον ἐκ Νινευὴ ὁδὸν τριῶν ἡμερῶν ἐπὶ πρόσωπον τοῦ πεδίου Βαικτιλαὶθ, καὶ ἐπεστρατοπέδευσεν ἀπὸ Βαικτιλαὶθ πλησίον τοῦ ὄρους τοῦ ἐπʼ ἀριστερᾷ τῆς ἄνω Κιλικίας.
