# Word Corrections TSV Format
# Columns (tab-separated): VERSE_REF	INCORRECT	CORRECT	NOTES (optional)
# VERSE_REF: "BOOK chapter:verse" (e.g., "ΓΕΝΕΣΙΣ 14:22") or "ALL" for global corrections
# Lines starting with # are comments

# Typo Checker Fixes (check_missing_words_for_typos.py)
ΔΕΥΤΕΡΟΝΟΜΙΟΝ 3:25	ταύην	ταύτην
ΔΕΥΤΕΡΟΝΟΜΙΟΝ 3:27	ἀφθαλμοῖς	ὀφθαλμοῖς
ΔΕΥΤΕΡΟΝΟΜΙΟΝ 4:25	ἐνώπιου	ἐνώπιον
ΔΕΥΤΕΡΟΝΟΜΙΟΝ 4:30	σὐτοῦ	αὐτοῦ
ΔΕΥΤΕΡΟΝΟΜΙΟΝ 4:40	ἀντέλλομαί	ἐντέλλομαί	rahlf
ΔΕΥΤΕΡΟΝΟΜΙΟΝ 6:23	δαῦναι	δοῦναι
ΔΕΥΤΕΡΟΝΟΜΙΟΝ 7:1	ἔθην	ἔθνη
ΔΕΥΤΕΡΟΝΟΜΙΟΝ 7:8	δουελίας	δουλίας
ΔΕΥΤΕΡΟΝΟΜΙΟΝ 11:24	μελάλου	μεγάλου
ΔΕΥΤΕΡΟΝΟΜΙΟΝ 12:17	σαυ	σου
ΔΕΥΤΕΡΟΝΟΜΙΟΝ 12:31	βδελύματα	βδελύγματα
ΔΕΥΤΕΡΟΝΟΜΙΟΝ 13:1	ἐντλλομαι	ἐντέλλομαι
ΔΕΥΤΕΡΟΝΟΜΙΟΝ 14:26	ἐπιθυμεῇ	ἐπιθυμῇ
ΔΕΥΤΕΡΟΝΟΜΙΟΝ 14:26	ἐτ	ἐπ
ALL	φυχή	ψυχή	rahlf
ΜΑΚΚΑΒΑΙΩΝ Α 10:33	φυχὴν	ψυχὴν	rahlf
ΔΕΥΤΕΡΟΝΟΜΙΟΝ 17:9	ἐγεύσῃ	ἐλεύσῃ
ΔΕΥΤΕΡΟΝΟΜΙΟΝ 17:9	τὸνς	τοὺς
ΔΕΥΤΕΡΟΝΟΜΙΟΝ 22:2	ἐπίοτῃ	ἐπίστῃ
ΔΕΥΤΕΡΟΝΟΜΙΟΝ 22:19	ξημιώσουσιν	ζημιώσουσιν	rahlf
ΔΕΥΤΕΡΟΝΟΜΙΟΝ 24:16	ἁματρίᾳ	ἁμαρτίᾳ
ΔΕΥΤΕΡΟΝΟΜΙΟΝ 24:18	ἱμαίτιον	ἱμάτιον
ΔΕΥΤΕΡΟΝΟΜΙΟΝ 26:10	γεννμάτων	γεννημάτων
ΔΕΥΤΕΡΟΝΟΜΙΟΝ 27:16	γένοτιο	γένοιτο
ΔΕΥΤΕΡΟΝΟΜΙΟΝ 28:14	πορεύσεθαι	πορεύεσθαι
ΔΕΥΤΕΡΟΝΟΜΙΟΝ 28:51	ἔγκονα	ἔκγονα
ΙΗΣΟΥΣ ΝΑΥΗ 1:6	ἀποδιεῖς	ἀποδιελεῖς
ΙΗΣΟΥΣ ΝΑΥΗ 1:9	ἐντέαλμαί	ἐντέταλμαί
ΙΗΣΟΥΣ ΝΑΥΗ 4:2	ταραλαβὼν	παραλαβὼν
ΙΗΣΟΥΣ ΝΑΥΗ 5:5	Μαβδαρίτιδτ	Μαδβαρίτιδι
ΙΗΣΟΥΣ ΝΑΥΗ 6:1	συρκεκλεισμένη	συγκεκλεισμένη
ΙΗΣΟΥΣ ΝΑΥΗ 6:18	Ἀγγὰ	Ἀλλὰ
ΙΗΣΟΥΣ ΝΑΥΗ 6:25	κατασκοπεύαντας	κατασκοπεύσαντας
ΙΗΣΟΥΣ ΝΑΥΗ 8:22	ἐκενήθησαν	ἐγενήθησαν	rahlf
ΙΗΣΟΥΣ ΝΑΥΗ 9:2d	ᾖρν	ἦραν
ΙΗΣΟΥΣ ΝΑΥΗ 10:21	Ἰηραὴλ	Ἰσραὴλ	rahlf
ΙΗΣΟΥΣ ΝΑΥΗ 10:35	ἀτῇ	αὐτῇ
ALL	Ἄραβ	Ἄραβα
ΙΗΣΟΥΣ ΝΑΥΗ 12:5	Γαλαδ	Γαλαὰδ
ΙΗΣΟΥΣ ΝΑΥΗ 12:23	Φεννεαδὼρ	Φεννεαλδὼρ
ΙΗΣΟΥΣ ΝΑΥΗ 13:18	Καριθαὶμ	Καριαθαὶμ
ΙΗΣΟΥΣ ΝΑΥΗ 14:11	ἐζελθεῖν	ἐξελθεῖν
ΙΗΣΟΥΣ ΝΑΥΗ 15:8	Ἰεβοῦις	Ἰεβοῦς
ΙΗΣΟΥΣ ΝΑΥΗ 15:62	Ἀρκάδης	Ἀγκάδης
ΙΗΣΟΥΣ ΝΑΥΗ 17:11	Βαιθοὰν	Βαιθσὰν
ALL	νἱοὶ	υἱοὶ
ΙΗΣΟΥΣ ΝΑΥΗ 17:18	ἐξολοθρεύ· σῃς	ἐξολοθρεύσῃς
ΙΗΣΟΥΣ ΝΑΥΗ 22:3	ἡυμέρας	ἡμέρας
ΙΗΣΟΥΣ ΝΑΥΗ 24:26	τέρμινθον	τερέμινθον
ΚΡΙΤΑΙ 5:16	ἀγελῶν	ἀγγέλων	swete
ΚΡΙΤΑΙ 6:8	νἱοὺς	υἱοὺς
ΚΡΙΤΑΙ 9:50	Βαιθηγβερὶθ	Βαιθηλβερὶθ
ΚΡΙΤΑΙ 11:8	προσβύτεροι	πρεσβύτεροι	rahlf
ΚΡΙΤΑΙ 16:14	πασσάῳ	πασσάλῳ
ΚΡΙΤΑΙ 16:23	θυσαιάσαι	θυσιάσαι
ΡΟΥΘ 1:9	ἔλαυσαν	ἔκλαυσαν
ΒΑΣΙΛΕΙΩΝ Α 3:21	Σηλὼμε	Σηλὼμ
ΒΑΣΙΛΕΙΩΝ Α 4:20	τέτοκασ	τέτοκας
ΒΑΣΙΛΕΙΩΝ Α 7:15	ζεῆς	ζωῆς
ΒΑΣΙΛΕΙΩΝ Α 14:40	ἔσεστε	ἔσεσθε	rahlf
ΒΑΣΙΛΕΙΩΝ Α 15:23	πόνονς	πόνους
ΒΑΣΙΛΕΙΩΝ Α 17:43	χείρωυ	χείρων
ΒΑΣΙΛΕΙΩΝ Α 19:2	κρυδῇ	κρυφῇ
ΒΑΣΙΛΕΙΩΝ Α 20:34	ἐθρανσθη	ἐθραύσθη
ΒΑΣΙΛΕΙΩΝ Α 20:36	δράυε	δράμε
ΒΑΣΙΛΕΙΩΝ Α 20:36	παιδάμε	παιδάριον
ΒΑΣΙΛΕΙΩΝ Α 20:36	ἔδραυε	ἔδραμε
ΒΑΣΙΛΕΙΩΝ Α 26:19	ἐστηρίθαι	ἐστηρίχθαι
ΒΑΣΙΛΕΙΩΝ Α 29:1	Ἀεδὼρ	Ἀενδὼρ
ΒΑΣΙΛΕΙΩΝ Α 30:24	ὅτιδοὐχ	ὅτι οὐχ
ΒΑΣΙΛΕΙΩΝ Β 3:3	τρίος	τρίτος	rahlf
ΒΑΣΙΛΕΙΩΝ Β 7:6	ἐυπεριπατῶν	ἐμπεριπατῶν
ΒΑΣΙΛΕΙΩΝ Β 7:18	ἐνάθισεν	ἐκάθισεν
ALL	Δανὶδ	Δαυὶδ
ΒΑΣΙΛΕΙΩΝ Β 18:8	ἐκαίνῃ	ἐκείνῃ
ΒΑΣΙΛΕΙΩΝ Β 18:18	ἕνεκν	ἕνεκα
ΒΑΣΙΛΕΙΩΝ Β 20:14	Βαθμαχά	Βεθμαχά
ΒΑΣΙΛΕΙΩΝ Β 21:14	ἡλιασθένων	ἡλιασθέντων
ΒΑΣΙΛΕΙΩΝ Β 22:17	 ὕξ 	 	space character
ΒΑΣΙΛΕΙΩΝ Β 22:20	ηὐδόκησες	ηὐδόκησεν
ALL	Ἀβισὰλ	Ἀβισὰγ
ΒΑΣΙΛΕΙΩΝ Γ 2:19	αλῆσαι	λαλῆσαι
ΒΑΣΙΛΕΙΩΝ Γ 2:23	παροσθείη	προσθείη
