πρωτιμῶν
παιδσεία
ἐντάσσων
βιοτέρων
ἐδύνετο
ὑδρῶν
ἐστρατοπέδευκεν
ἀποφορίσαι
πυλυτρόπως
τεθησαύρισται
πιστεύσαντας
ἀνῃρήσασθαι
Ἀπωλλώνιον
μικρῶν
δόκαν
μιαροφαγήσεμεν
οἰκειωθωσόμενα
ἐξαρνήσεμαί
ἐλεοῦντες
ὑπερέπτοσαν
πηδαλιουεχῶν
βιότερε
περιεχαλασμένων
μιαιροφαγῆσαι
διαδεξαμένου
ἀρθενβόλους
ἐπιστεροῦμεν
αὐτηκράτορες
μιαροφονίαν
αὐτάρχη
κελευθέντες
ἐπέτρωσαν
αὔξονας
περιτετηκμένον
ἐγέννεσιν
προβεβανασισθέντων
ἀκρωτηριαζόμενα
